frame,particles,delta,physMem,virtMem
672,1500,0.0244708,51388416,40931328
673,1500,0.0250987,51388416,40931328
674,1500,0.0246201,51388416,40931328
675,1500,0.0233133,51388416,40931328
676,1500,0.0238646,51388416,40931328
677,1500,0.0237627,51388416,40931328
678,1500,0.0233394,51388416,40931328
679,1500,0.0242349,51388416,40931328
680,1500,0.0253411,51388416,40931328
681,1500,0.0239654,51388416,40931328
682,1500,0.0254239,51388416,40931328
683,1500,0.024725,51388416,40931328
684,1500,0.0242357,51388416,40931328
685,1500,0.0306664,51388416,40931328
686,1500,0.0272845,51388416,40931328
687,1500,0.0240576,51388416,40931328
688,1500,0.0238077,51388416,40931328
689,1500,0.0243958,51388416,40931328
690,1500,0.0242629,51388416,40931328
691,1500,0.024852,51388416,40931328
692,1500,0.0248858,51388416,40931328
693,1500,0.024464,51388416,40931328
694,1500,0.0242995,51388416,40931328
695,1500,0.0250116,51388416,40931328
696,1500,0.0242325,51388416,40931328
697,1500,0.0235581,51388416,40931328
698,1500,0.0245062,51388416,40931328
699,1500,0.024229,51388416,40931328
700,1500,0.0249516,51388416,40931328
701,1500,0.0234808,51388416,40931328
702,1500,0.0231624,51388416,40931328
703,1500,0.0263937,51388416,40931328
704,1500,0.0246261,51388416,40931328
705,1500,0.0242444,51388416,40931328
706,1500,0.0235916,51388416,40931328
707,1500,0.0233379,51388416,40931328
708,1500,0.0236673,51388416,40931328
709,1500,0.0242787,51388416,40931328
710,1500,0.0240161,51388416,40931328
711,1500,0.0241787,51388416,40931328
712,1500,0.0244244,51388416,40931328
713,1500,0.0245584,51388416,40931328
714,1500,0.0246624,51388416,40931328
715,1500,0.0242226,51388416,40931328
716,1500,0.0232527,51388416,40931328
717,1500,0.0236996,51388416,40931328
718,1500,0.024372,51388416,40931328
719,1500,0.0245757,51388416,40931328
720,1500,0.0237544,51388416,40931328
721,1500,0.0262517,51388416,40931328
722,1500,0.0250667,51388416,40931328
723,1500,0.023791,51388416,40931328
724,1500,0.0246991,51388416,40931328
725,1500,0.0249269,51388416,40931328
726,1500,0.0237781,51388416,40931328
